animal_id,animal_type,animal_breed,month,year,census_tract,council_district,intake_type,intake_date,outcome_type,outcome_date,chip_status,animal_origin
A0979593,DOG,RHOD RIDGEBACK,FEB,2017,1502,2,CONFISCATED,2/20/17,DEAD ON ARRIVAL,2/21/17,SCAN NO CHIP,FIELD
A0743013,DOG,YORKSHIRE TERR,NOV,2016,13609,11,STRAY,11/19/16,RETURNED TO OWNER,11/19/16,SCAN CHIP,FIELD
A1004433,BIRD,CHICKEN,AUG,2017,10803,3,STRAY,8/7/17,TRANSFER,8/8/17,SCAN NO CHIP,FIELD
A0969724,DOG,GERM SHEPHERD,DEC,2016,7102,2,STRAY,12/15/16,ADOPTION,12/20/16,SCAN NO CHIP,FIELD
A0981479,DOG,GERM SHEPHERD,FEB,2017,6001,4,OWNER SURRENDER,2/16/17,ADOPTION,2/19/17,SCAN NO CHIP,OVER THE COUNTER
A0958138,DOG,BASSET HOUND,OCT,2016,75001,1,LOST REPORT,10/4/16,LOST REPORT,10/4/16,UNABLE TO SCAN,OVER THE COUNTER
A1008940,CAT,DOMESTIC SH,SEP,2017,5200,1,STRAY,9/20/17,FOSTER,9/28/17,SCAN NO CHIP,OVER THE COUNTER
A1008867,DOG,GERM SHEPHERD,SEP,2017,5600,4,STRAY,9/19/17,RETURNED TO OWNER,9/20/17,SCAN CHIP,SWEEP
A1003731,CAT,DOMESTIC SH,JUL,2017,9803,6,STRAY,7/31/17,FOSTER,8/3/17,SCAN NO CHIP,FIELD
A0957888,CAT,DOMESTIC SH,OCT,2016,16605,8,STRAY,10/2/16,ADOPTION,10/26/16,SCAN NO CHIP,OVER THE COUNTER
A0964709,DOG,LABRADOR RETR,NOV,2016,6401,1,STRAY,11/12/16,ADOPTION,11/17/16,SCAN NO CHIP,OVER THE COUNTER
A1006271,DOG,CHIHUAHUA SH,AUG,2017,4300,6,OWNER SURRENDER,8/24/17,RETURNED TO OWNER,8/27/17,SCAN CHIP,OVER THE COUNTER
A0982813,WILDLIFE,GUINEA PIG,FEB,2017,12301,7,STRAY,2/27/17,ADOPTION,3/1/17,SCAN NO CHIP,FIELD
A1001286,DOG,GERM SHEPHERD,JUL,2017,20500,6,STRAY,7/9/17,ADOPTION,7/18/17,SCAN NO CHIP,OVER THE COUNTER
A1006663,CAT,DOMESTIC SH,AUG,2017,75238,38,LOST REPORT,8/29/17,LOST REPORT,9/15/17,UNABLE TO SCAN,OVER THE COUNTER
A0989315,CAT,DOMESTIC SH,AUG,2017,20500,6,FOSTER,8/19/17,ADOPTION,8/19/17,SCAN NO CHIP,OVER THE COUNTER
A0996065,CAT,DOMESTIC SH,MAY,2017,6301,4,STRAY,5/30/17,TRANSFER,6/1/17,SCAN NO CHIP,FIELD
A1002105,CAT,DOMESTIC MH,JUL,2017,13626,11,OWNER SURRENDER,7/17/17,EUTHANIZED,7/17/17,SCAN NO CHIP,OVER THE COUNTER
A0979471,DOG,ROTTWEILER,FEB,2017,9303,5,STRAY,2/4/17,TRANSFER,2/7/17,SCAN NO CHIP,FIELD
A0984510,DOG,PIT BULL,MAR,2017,20500,6,OWNER SURRENDER,3/13/17,ADOPTION,4/6/17,SCAN NO CHIP,OVER THE COUNTER
A1000868,DOG,AMERICAN STAFF,JUL,2017,9701,6,STRAY,7/6/17,RETURNED TO OWNER,7/8/17,SCAN NO CHIP,FIELD
A0984516,DOG,GREAT PYRENEES,MAR,2017,9202,5,STRAY,3/13/17,RETURNED TO OWNER,3/13/17,SCAN NO CHIP,FIELD
A0981480,DOG,GERM SHEPHERD,FEB,2017,6001,4,OWNER SURRENDER,2/16/17,ADOPTION,2/19/17,SCAN NO CHIP,OVER THE COUNTER
A0983223,DOG,CHIHUAHUA SH,MAR,2017,2500,7,OWNER SURRENDER,3/2/17,TRANSFER,3/8/17,SCAN NO CHIP,OVER THE COUNTER
A0997417,DOG,PIT BULL,JUN,2017,20300,7,STRAY,6/7/17,TRANSFER,6/17/17,SCAN NO CHIP,FIELD
A0964959,DOG,GERM SHEPHERD,NOV,2016,5500,4,STRAY,11/14/16,FOSTER,12/5/16,SCAN NO CHIP,OVER THE COUNTER
A1009659,CAT,DOMESTIC SH,SEP,2017,9802,6,STRAY,9/27/17,EUTHANIZED,9/27/17,SCAN NO CHIP,OVER THE COUNTER
A1002410,CAT,DOMESTIC SH,JUL,2017,11103,3,STRAY,7/19/17,EUTHANIZED,7/23/17,UNABLE TO SCAN,OVER THE COUNTER
A0989433,CAT,DOMESTIC SH,JUN,2017,20500,6,FOSTER,6/25/17,ADOPTION,7/1/17,SCAN NO CHIP,OVER THE COUNTER
A1002214,DOG,LABRADOR RETR,JUL,2017,10601,6,STRAY,7/18/17,RETURNED TO OWNER,7/18/17,SCAN NO CHIP,SWEEP
A0991884,DOG,CAIRN TERRIER,MAY,2017,401,2,OWNER SURRENDER,5/3/17,ADOPTION,5/10/17,SCAN NO CHIP,FIELD
A0825333,DOG,LABRADOR RETR,FEB,2017,11103,3,CONFISCATED,2/25/17,RETURNED TO OWNER,3/7/17,SCAN NO CHIP,FIELD
A0989913,DOG,PIT BULL,APR,2017,4700,1,CONFISCATED,4/20/17,EUTHANIZED,4/20/17,SCAN NO CHIP,FIELD
A0961620,DOG,PIT BULL,OCT,2016,2702,7,STRAY,10/25/16,ADOPTION,11/17/16,SCAN NO CHIP,FIELD
A0913475,DOG,AMERICAN STAFF,OCT,2016,UNKNOW,WN,LOST REPORT,10/28/16,LOST REPORT,11/16/16,SCAN NO CHIP,OVER THE COUNTER
A0990439,DOG,LABRADOR RETR,APR,2017,11200,8,OWNER SURRENDER,4/24/17,DIED,4/24/17,SCAN NO CHIP,FIELD
A0999757,DOG,STAFFORDSHIRE,JUN,2017,12500,9,STRAY,6/25/17,TRANSFER,6/30/17,SCAN NO CHIP,FIELD
A1005658,CAT,DOMESTIC SH,AUG,2017,12601,9,STRAY,8/17/17,TRANSFER,9/6/17,SCAN NO CHIP,FIELD
A0960505,DOG,CAIRN TERRIER,OCT,2016,12207,7,CONFISCATED,10/19/16,TRANSFER,11/2/16,SCAN NO CHIP,FIELD
A0993948,DOG,PIT BULL,MAY,2017,8704,3,STRAY,5/17/17,ADOPTION,5/25/17,SCAN NO CHIP,FIELD
A0990925,DOG,BULL TERRIER,APR,2017,NA,NA,LOST REPORT,4/28/17,LOST REPORT,5/9/17,UNABLE TO SCAN,OVER THE COUNTER
A0880801,DOG,LABRADOR RETR,OCT,2016,11105,8,STRAY,10/20/16,TRANSFER,11/2/16,SCAN NO CHIP,FIELD
A0985054,CAT,DOMESTIC SH,MAR,2017,31709,12,FOSTER,3/27/17,TRANSFER,3/27/17,SCAN NO CHIP,OVER THE COUNTER
A0984741,DOG,CHIHUAHUA SH,MAR,2017,13606,11,STRAY,3/14/17,RETURNED TO OWNER,3/15/17,SCAN NO CHIP,OVER THE COUNTER
A0983822,CAT,DOMESTIC SH,MAR,2017,10000,6,STRAY,3/7/17,DEAD ON ARRIVAL,3/8/17,UNABLE TO SCAN,OVER THE COUNTER
A1003812,CAT,DOMESTIC SH,AUG,2017,20500,6,STRAY,8/1/17,ADOPTION,8/11/17,SCAN NO CHIP,OVER THE COUNTER
A0970773,DOG,PIT BULL,DEC,2016,5500,4,STRAY,12/24/16,ADOPTION,12/30/16,SCAN NO CHIP,FIELD
A0975622,CAT,DOMESTIC SH,JAN,2017,4201,1,STRAY,1/23/17,EUTHANIZED,1/24/17,SCAN NO CHIP,FIELD
A0989110,DOG,CHIHUAHUA SH,APR,2017,6900,1,STRAY,4/14/17,RETURNED TO OWNER,4/14/17,SCAN NO CHIP,SWEEP
A1004229,DOG,PIT BULL,AUG,2017,7202,2,CONFISCATED,8/5/17,EUTHANIZED,8/5/17,SCAN CHIP,FIELD
A0960377,CAT,DOMESTIC MH,OCT,2016,8100,9,OWNER SURRENDER,10/18/16,ADOPTION,11/11/16,SCAN NO CHIP,OVER THE COUNTER
A0993691,CAT,DOMESTIC LH,JUN,2017,20500,6,FOSTER,6/10/17,ADOPTION,6/13/17,SCAN NO CHIP,OVER THE COUNTER
A0983542,DOG,CHIHUAHUA SH,MAR,2017,9202,5,STRAY,3/4/17,EUTHANIZED,3/15/17,SCAN NO CHIP,OVER THE COUNTER
A1003715,CAT,DOMESTIC SH,JUL,2017,5300,1,CONFISCATED,7/31/17,TRANSFER,8/30/17,SCAN NO CHIP,FIELD
A0964606,CAT,DOMESTIC SH,NOV,2016,12800,9,STRAY,11/11/16,EUTHANIZED,11/11/16,UNABLE TO SCAN,FIELD
A0964979,DOG,PIT BULL,NOV,2016,6700,3,STRAY,11/15/16,ADOPTION,11/19/16,SCAN NO CHIP,OVER THE COUNTER
A0990758,DOG,PIT BULL,APR,2017,8802,4,STRAY,4/26/17,ADOPTION,5/6/17,SCAN NO CHIP,SWEEP
A1006082,DOG,CAIRN TERRIER,AUG,2017,404,2,STRAY,8/23/17,TRANSFER,8/29/17,SCAN NO CHIP,SWEEP
A0960950,CAT,DOMESTIC SH,OCT,2016,10704,6,STRAY,10/21/16,TRANSFER,11/13/16,SCAN NO CHIP,OVER THE COUNTER
A0992957,CAT,DOMESTIC SH,MAY,2017,11800,5,STRAY,5/11/17,EUTHANIZED,5/11/17,SCAN NO CHIP,OVER THE COUNTER
A0984720,CAT,DOMESTIC SH,MAR,2017,4800,1,STRAY,3/14/17,EUTHANIZED,3/14/17,SCAN NO CHIP,FIELD
A0663796,DOG,PIT BULL,MAY,2017,21634,12,OWNER SURRENDER,5/20/17,EUTHANIZED,5/20/17,SCAN CHIP,OVER THE COUNTER
A0997956,DOG,GERM SHEPHERD,JUN,2017,10102,6,STRAY,6/10/17,EUTHANIZED,6/20/17,SCAN NO CHIP,SWEEP
A0991728,DOG,AMERICAN STAFF,MAY,2017,11602,8,STRAY,5/2/17,ADOPTION,7/5/17,SCAN NO CHIP,SWEEP
A0995969,CAT,DOMESTIC SH,MAY,2017,11702,5,STRAY,5/30/17,TRANSFER,5/30/17,SCAN NO CHIP,FIELD
A0981447,DOG,PIT BULL,FEB,2017,2500,2,STRAY,2/16/17,ADOPTION,2/20/17,SCAN NO CHIP,FIELD
A0956874,DOG,COLLIE SMOOTH,OCT,2016,8500,5,OWNER SURRENDER,10/13/16,ADOPTION,10/15/16,SCAN CHIP,OVER THE COUNTER
A0993516,DOG,PIT BULL,MAY,2017,12604,9,STRAY,5/15/17,RETURNED TO OWNER,5/17/17,SCAN NO CHIP,FIELD
A0999469,DOG,POMERANIAN,JUN,2017,1504,2,STRAY,6/23/17,TRANSFER,6/30/17,SCAN NO CHIP,FIELD
A0966860,DOG,GREAT PYRENEES,NOV,2016,16703,8,LOST REPORT,11/29/16,LOST REPORT,12/12/16,SCAN NO CHIP,OVER THE COUNTER
A1007296,CAT,DOMESTIC SH,SEP,2017,20500,6,STRAY,9/2/17,ADOPTION,9/6/17,SCAN NO CHIP,OVER THE COUNTER
A0986760,DOG,CHIHUAHUA SH,MAR,2017,3902,7,OWNER SURRENDER,3/29/17,TRANSFER,4/2/17,SCAN CHIP,FIELD
A0961082,CAT,DOMESTIC SH,OCT,2016,7811,10,OWNER SURRENDER,10/22/16,ADOPTION,11/13/16,SCAN NO CHIP,OVER THE COUNTER
A0999765,WILDLIFE,OPOSSUM,JUN,2017,11200,8,WILDLIFE,6/26/17,EUTHANIZED,6/26/17,SCAN NO CHIP,FIELD
A1000029,DOG,CAIRN TERRIER,JUN,2017,13609,11,OWNER SURRENDER,6/28/17,ADOPTION,7/1/17,SCAN NO CHIP,OVER THE COUNTER
A0960190,DOG,COLLIE ROUGH,NOV,2016,20500,6,OWNER SURRENDER,11/15/16,EUTHANIZED,11/15/16,SCAN CHIP,OVER THE COUNTER
A0985853,DOG,GERM SHEPHERD,MAR,2017,10602,6,STRAY,3/23/17,TRANSFER,4/8/17,SCAN NO CHIP,FIELD
A0963351,CAT,DOMESTIC SH,NOV,2016,20500,6,STRAY,11/5/16,EUTHANIZED,11/5/16,SCAN NO CHIP,OVER THE COUNTER
A0981095,DOG,LABRADOR RETR,FEB,2017,20500,6,STRAY,2/14/17,TRANSFER,2/18/17,SCAN NO CHIP,OVER THE COUNTER
A1002549,DOG,AM PIT BULL TER,JUL,2017,3902,7,STRAY,7/20/17,EUTHANIZED,7/24/17,SCAN NO CHIP,FIELD
A0970033,DOG,BASENJI,DEC,2016,10801,3,OWNER SURRENDER,12/19/16,ADOPTION,12/24/16,SCAN CHIP,OVER THE COUNTER
A0958817,CAT,DOMESTIC SH,OCT,2016,13008,10,STRAY,10/6/16,ADOPTION,10/21/16,SCAN NO CHIP,FIELD
A0933679,DOG,BELG MALINOIS,FEB,2017,20500,6,STRAY,2/19/17,ADOPTION,3/1/17,SCAN CHIP,OVER THE COUNTER
A0999716,CAT,DOMESTIC SH,JUN,2017,4500,1,OWNER SURRENDER,6/25/17,ADOPTION,7/1/17,SCAN NO CHIP,OVER THE COUNTER
A0972901,DOG,GERM SHEPHERD,JAN,2017,10601,6,OWNER SURRENDER,1/10/17,ADOPTION,1/18/17,SCAN NO CHIP,OVER THE COUNTER
A1002651,DOG,GERM SHEPHERD,JUL,2017,5000,1,OWNER SURRENDER,7/21/17,EUTHANIZED,7/21/17,SCAN NO CHIP,OVER THE COUNTER
A0987002,DOG,GERM SHEPHERD,MAR,2017,20500,6,STRAY,3/30/17,ADOPTION,4/14/17,SCAN NO CHIP,OVER THE COUNTER
A0885968,DOG,PIT BULL,NOV,2016,6100,4,STRAY,11/23/16,ADOPTION,12/23/16,SCAN CHIP,OVER THE COUNTER
A0988687,DOG,GERM SHEPHERD,APR,2017,7604,13,CONFISCATED,4/12/17,DEAD ON ARRIVAL,4/13/17,UNABLE TO SCAN,FIELD
A0995350,DOG,GERM SHEPHERD,MAY,2017,2500,2,STRAY,5/24/17,RETURNED TO OWNER,5/24/17,SCAN NO CHIP,FIELD
A0991845,DOG,AMERICAN STAFF,MAY,2017,11602,8,STRAY,5/3/17,ADOPTION,5/14/17,SCAN NO CHIP,FIELD
A1004893,DOG,CHIHUAHUA SH,AUG,2017,11601,8,STRAY,8/12/17,ADOPTION,8/18/17,SCAN NO CHIP,SWEEP
A0990829,BIRD,OTHER BIRD,APR,2017,13620,11,WILDLIFE,4/26/17,EUTHANIZED,4/26/17,UNABLE TO SCAN,FIELD
A1004121,DOG,PIT BULL,AUG,2017,20500,6,STRAY,8/4/17,EUTHANIZED,8/8/17,SCAN CHIP,OVER THE COUNTER
A0957334,DOG,PIT BULL,NOV,2016,10704,3,OWNER SURRENDER,11/21/16,ADOPTION,11/21/16,SCAN CHIP,OVER THE COUNTER
A0988788,CAT,DOMESTIC SH,APR,2017,20500,6,STRAY,4/12/17,TRANSFER,4/17/17,SCAN NO CHIP,FIELD
A1000269,DOG,PIT BULL,JUN,2017,31720,12,CONFISCATED,6/30/17,RETURNED TO OWNER,7/7/17,SCAN NO CHIP,OVER THE COUNTER
A0989471,DOG,BLACK MOUTH CUR,APR,2017,4500,1,STRAY,4/18/17,TRANSFER,4/29/17,SCAN NO CHIP,OVER THE COUNTER
A0963174,DOG,BOXER,NOV,2016,4100,4,OWNER SURRENDER,11/4/16,EUTHANIZED,11/4/16,SCAN NO CHIP,OVER THE COUNTER
A1008004,CAT,DOMESTIC SH,SEP,2017,12209,9,OWNER SURRENDER,9/9/17,TRANSFER,9/13/17,SCAN NO CHIP,OVER THE COUNTER
A0982460,DOG,POMERANIAN,FEB,2017,9000,5,STRAY,2/23/17,ADOPTION,2/28/17,SCAN NO CHIP,SWEEP
A1009518,DOG,ALASKAN HUSKY,SEP,2017,7821,13,STRAY,9/26/17,ADOPTION,10/2/17,SCAN NO CHIP,FIELD
